LGA Code 2011,A10 Homicide and related offence,A20 Assault and related offences , A30 Sexual offences, A40 Abduction and related ofences , A50 Robbery,A60 Blackmail and extortion,"A70 Stalking, harassment and threatening behaviour",A80 Dangerous and negligent acts endangering people,Total offence count: (A),B10 Arson,B20 Property Damage,B30 Burglary/Break and enter,B40 Theft,B50 Deception,B60 Bribery,Total offence count: (B),C10 Drug dealing and trafficking,C20 Cultivate or manufacture drugs,C30 Drug use and possesion ,C90 Other drug offences,Total offence count: (C),D10 Weapons and explosives offence,D20 Disorderly and offensive conduct,D30 Public nuisance offences,D40 Public security offences,Total offence count: (D),E10 Justice procedures,E20 Breaches of orders,Total (E) Justice procedures offences,F10 Regulatory driving offences,F20 Transport regulation offences,F30 Other government regulatory off,F90 Miscellaneous offences,Total (F) Other offences,Grand Total Offences,LGA Estimated Residential Population,LGA Name,Reference Period,Victoria Estimated Residential Population
26260,0,116,56,0,0,0,34,14,220,8,131,81,244,59,0,523,8,3,38,0,49,37,67,14,0,118,14,119,133,0,2,1,6,9,1052,15751,Southern Grampians (S),2015,5937481
26260,3,132,68,2,1,0,48,28,279,10,115,86,266,39,0,516,23,3,93,0,119,46,66,22,0,134,74,191,265,0,1,4,1,6,1319,15869,Southern Grampians (S),2016,6053355
26350,3,621,114,7,66,2,123,82,1015,25,900,960,3543,739,0,6167,52,10,356,0,418,98,733,28,0,859,54,143,197,1,8,13,13,35,8691,101187,Stonnington (C),2012,5632521
26350,6,555,185,11,53,7,139,45,1001,19,782,1123,3574,1076,0,6574,50,83,392,1,526,171,642,34,1,848,61,319,380,0,2,21,7,30,9359,103085,Stonnington (C),2013,5733545
26350,5,462,120,6,40,1,98,68,800,27,677,1096,3854,928,0,6582,88,20,357,2,467,132,682,66,3,883,89,370,459,1,18,40,3,62,9253,105946,Stonnington (C),2014,5838110
26350,4,553,138,7,44,4,131,66,947,10,721,1248,4063,938,0,6980,98,40,428,1,567,200,563,30,3,796,147,514,661,0,8,8,4,20,9971,107941,Stonnington (C),2015,5937481
26350,4,602,212,17,70,5,124,65,1099,13,673,1303,5141,1118,0,8248,153,25,543,1,722,240,463,36,2,741,162,495,657,0,11,4,0,15,11482,112119,Stonnington (C),2016,6053355
26430,0,38,9,2,0,0,16,15,80,5,53,43,145,5,0,251,1,6,13,0,20,11,26,3,0,40,4,10,14,0,0,0,19,19,424,9666,Strathbogie (S),2012,5632521
26430,0,29,19,1,0,0,18,6,73,8,55,47,139,27,0,276,8,2,28,0,38,14,32,2,1,49,7,12,19,0,2,0,1,3,458,9702,Strathbogie (S),2013,5733545
26430,0,54,32,0,2,0,26,10,124,3,28,52,146,17,2,248,5,5,26,0,36,16,19,0,0,35,8,25,33,0,1,0,0,1,477,9814,Strathbogie (S),2014,5838110
26430,0,40,29,0,0,0,23,8,100,5,30,50,108,30,0,223,2,2,15,0,19,12,11,2,0,25,10,107,117,0,1,0,1,2,486,9826,Strathbogie (S),2015,5937481
26430,3,56,26,1,0,0,22,17,122,11,42,66,194,15,0,328,13,4,14,0,31,12,10,1,0,23,9,67,76,1,13,0,0,14,594,9938,Strathbogie (S),2016,6053355
26490,3,83,16,1,1,0,18,12,131,11,172,199,544,25,0,951,0,4,17,0,21,27,116,10,0,153,19,28,47,0,1,17,0,18,1321,27474,Surf Coast (S),2012,5632521
